Anno,Sesso,Nord_ovest,Nord_est,Centro,Sud,Isole,Italia
1980,Maschi,52.3,48.6,53.0,61.5,56.5,54.3
1983,Maschi,45.3,41.0,44.5,50.6,46.1,45.6
1987,Maschi,42.3,34.7,39.3,43.8,43.3,40.8
1990,Maschi,37.6,31.7,37.5,41.7,40.9,37.8
1993,Maschi,34.6,29.4,34.8,38.8,38.6,35.1
1994,Maschi,32.7,28.0,34.5,37.8,38.6,34.1
1995,Maschi,34.8,29.7,33.4,36.5,33.8,33.9
1996,Maschi,34.6,30.4,35.0,37.0,38.6,34.9
1997,Maschi,34.8,28.0,32.9,35.2,33.6,33.1
1998,Maschi,30.3,28.9,33.6,34.0,35.4,32.2
1999,Maschi,32.4,28.4,31.9,34.9,34.7,32.4
2000,Maschi,29.5,28.0,32.2,34.8,33.7,31.5
2001,Maschi,30.1,26.4,32.5,34.1,33.0,31.2
2002,Maschi,32.1,27.2,30.0,32.1,32.8,30.9
2003,Maschi,30.8,28.1,31.6,32.7,32.0,31.0
2005,Maschi,28.3,24.2,28.2,31.0,29.6,28.3
2006,Maschi,27.6,25.5,28.6,31.3,32.5,28.8
2007,Maschi,26.6,24.3,29.8,31.2,29.7,28.2
2008,Maschi,26.7,26.2,28.3,32.0,30.2,28.6
2009,Maschi,29.4,26.9,29.7,30.1,32.8,29.5
2010,Maschi,28.0,25.5,30.4,32.2,30.4,29.2
2011,Maschi,27.7,23.9,30.6,30.2,30.3,28.4
2012,Maschi,26.4,24.2,27.7,30.9,30.6,27.8
2013,Maschi,25.2,23.4,26.8,28.6,28.7,26.4
2014,Maschi,23.8,21.9,24.2,27.6,25.4,24.6
2015,Maschi,23.9,22.0,24.1,27.3,25.8,24.6
1980,Femmine,18.6,19.1,19.9,11.9,11.7,16.7
1983,Femmine,19.1,20.9,20.2,13.1,13.9,17.7
1987,Femmine,18.9,19.1,19.2,14.0,14.9,17.4
1990,Femmine,19.4,19.4,19.7,14.8,14.2,17.8
1993,Femmine,17.2,18.0,18.7,13.2,14.7,16.4
1994,Femmine,18.3,17.0,19.4,12.9,15.4,16.7
1995,Femmine,19.5,18.5,19.3,13.3,14.5,17.2
1996,Femmine,18.9,18.9,21.4,14.1,15.6,17.9
1997,Femmine,18.9,17.5,19.5,14.2,15.6,17.3
1998,Femmine,17.8,18.6,20.8,13.8,15.3,17.3
1999,Femmine,16.5,18.1,20.3,14.4,17.0,17.1
2000,Femmine,18.0,18.3,19.5,14.2,15.8,17.2
2001,Femmine,17.4,18.4,20.2,13.3,15.1,16.9
2002,Femmine,18.9,18.4,20.2,12.6,14.4,17.1
2003,Femmine,18.6,19.1,19.0,14.0,15.8,17.4
2005,Femmine,16.8,16.7,18.7,13.6,15.2,16.2
2006,Femmine,16.8,17.8,19.4,14.7,17.1,17.0
2007,Femmine,17.8,16.5,17.7,14.5,15.3,16.5
2008,Femmine,17.0,17.4,17.3,14.2,15.2,16.3
2009,Femmine,17.4,18.9,19.3,14.0,14.9,17.0
2010,Femmine,17.1,17.1,19.4,15.3,15.0,16.9
2011,Femmine,18.0,16.2,19.2,14.3,14.1,16.6
2012,Femmine,17.9,16.5,17.8,13.5,16.3,16.4
2013,Femmine,16.1,15.6,18.6,13.2,15.5,15.8
2014,Femmine,15.5,14.9,15.9,12.7,14.8,14.7
2015,Femmine,15.4,15.4,17.3,12.6,14.4,15.0
